timestamp,area_code,weather_code,temperature,precipitation_prob,alert,disaster
2025-07-04T09:12:21.079290,130000,100,25,30,,
2025-07-09T13:39:08.203348,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T13:39:26.164545,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T13:39:31.077830,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T13:39:34.630477,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T13:41:58.816269,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T14:07:31.081389,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T14:07:42.160524,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T14:07:44.484083,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T14:07:52.995144,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T14:07:55.247024,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T14:07:58.446511,460010,100,25,30,大雨注意報,河川氾濫情報
2025-07-09T14:07:59.329009,460010,100,25,30,大雨注意報,河川氾濫情報
